time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-18T15:40:15.352Z,-4.7245,153.2985,62.78,5.4,mww,,12,1.249,0.73,us,us7000fv3z,2021-11-19T15:42:47.929Z,"121 km ESE of Kokopo, Papua New Guinea",earthquake,5.6,3.9,0.098,10,reviewed,us,us
2021-11-18T14:10:05.214Z,-20.9178,-68.7773,115.3,4.7,mb,,67,0.675,1.05,us,us7000fv36,2021-11-19T10:52:36.249Z,"163 km ESE of Iquique, Chile",earthquake,6,3.5,0.084,43,reviewed,us,us
2021-11-18T14:08:05.061Z,-5.3134,153.7363,34.9,6.2,mww,,17,1.923,1.25,us,us7000fv37,2021-11-19T14:11:56.725Z,"194 km ESE of Kokopo, Papua New Guinea",earthquake,4.4,3.3,0.093,11,reviewed,us,us
2021-11-18T10:30:04.631Z,-23.1457,-66.6202,201.89,4.5,mb,,70,1.448,0.98,us,us7000fv2m,2021-11-18T10:53:13.040Z,"96 km W of El Aguilar, Argentina",earthquake,5.7,6.4,0.062,75,reviewed,us,us
2021-11-18T09:50:37.681Z,51.3993,-178.338,53.99,5.2,mb,,81,0.511,1.02,us,us7000fv2c,2021-11-24T10:00:49.510Z,"129 km WSW of Adak, Alaska",earthquake,7.5,6,0.024,593,reviewed,us,us
2021-11-18T07:18:39.734Z,-20.7944,169.9025,109.8,4.9,mb,,103,3.463,0.36,us,us7000fv1d,2021-11-18T07:35:15.040Z,"153 km SSE of Isangel, Vanuatu",earthquake,5.2,8.4,0.087,41,reviewed,us,us
2021-11-18T05:48:57.857Z,-7.3542,128.4461,155.74,4.9,mb,,101,4.771,0.56,us,us7000fv0q,2021-11-18T06:07:13.040Z,"205 km NE of Lospalos, Timor Leste",earthquake,6.9,7.6,0.073,58,reviewed,us,us
2021-11-18T04:13:29.793Z,0.6473,-79.183,59.9,4.5,mb,,136,0.837,0.88,us,us7000fuzu,2021-11-19T04:39:52.040Z,"47 km NE of Rosa Zarate, Ecuador",earthquake,7.8,10.1,0.113,23,reviewed,us,us
2021-11-18T01:09:40.946Z,-31.269,-69.0187,107.55,4.5,mb,,55,0.397,0.66,us,us7000fuz1,2021-11-19T02:03:21.040Z,"38 km E of Calingasta, Argentina",earthquake,5.8,2.8,0.14,15,reviewed,us,us
2021-11-17T23:46:49.547Z,-10.6176,165.2378,35,4.9,mb,,104,5.168,0.68,us,us7000fuyl,2021-11-18T00:06:43.040Z,"62 km W of Lata, Solomon Islands",earthquake,5.6,1.9,0.076,54,reviewed,us,us
2021-11-17T21:38:53.587Z,-26.3334,-63.3403,569.91,5.5,mww,,40,5.207,0.71,us,us7000fuxl,2021-11-18T21:41:40.211Z,"56 km WNW of Campo Gallo, Argentina",earthquake,9.2,6,0.055,32,reviewed,us,us
2021-11-17T19:01:49.993Z,13.8536,-89.9971,106.41,4.9,mb,,127,0.568,1.07,us,usd000gfpp,2021-11-18T17:34:26.409Z,"2 km ENE of San Francisco Menéndez, El Salvador",earthquake,7.7,5.8,0.035,252,reviewed,us,us
2021-11-17T16:11:55.188Z,-34.1182,-178.9669,10,4.6,mb,,169,4.922,1.03,us,us7000fw89,2021-11-24T05:47:17.040Z,"south of the Kermadec Islands",earthquake,11.4,1.9,0.141,15,reviewed,us,us
2021-11-17T15:36:21.998Z,28.2221,104.803,10,4.9,mb,,25,4.581,0.73,us,us7000fuvg,2021-11-24T05:32:57.040Z,"27 km SSE of Xunchang, China",earthquake,7.1,1.7,0.053,113,reviewed,us,us
